TITLE,AUTHOR,TRANSLATOR,PUBLICATION,CATEGORY,IMAGE,URL
"Orpheline (l') du presbytère, ou fiction et vérité",Elisabeth Bennett,,1816,,,
Orphelines (les) de Flower-Garden ,anonyme,anonyme,1799,,,
Orphelins (les) de Perse; histoire orientale,M. M***,,1773,,,
Orphelines (les) de Werdemberg,Lewis,R. J. Durdent,1810,,,
"Ottilie, ou le pouvoir de la sympathie ",Goëthe,J. B. J. Breton,1810,,,
"Page (le) de la reine Marguerite, ou l'Ermite du Mont Apennin ",madame Guénard,,1806,1; 4,,
"Palma, ou l'île de la montagne noire",J. A. Gardy,,1801,,,
"Palmyre et Flaminie, ou le secret",madame de Genlis,,1820,1; 3,,
"Paméla, ou la vertu récompensée",Samuel Richardson,abbé Prévost,1810,1; 3,,
"Paméla (la) française, ou lettres d'une jeune paysanne et d'un jeune Noble",Le Suire,,1803,,,
"Panorama (le) des Boudoirs, ou l'empire des Nairs",James Lawrence,,1817,4,,
Paola,madame de Choiseul-Meuse,,1813,2; 3,,
Paradis (le) perdu,John Milton,anonyme,,,,
"Parc (le) de Mansfield, ou les trois cousines",Jane Austen,Henry V***,1816,2,,
"Paris et le Village, ou les deux paysans",A. G.,,1820,,,
"Parisiennes (les), ou quarante caractères généraux pris dans les moeurs actuelles",Rétif de la Bretonne,,1787,,,
"Parisien (le), ou les illusions de la jeunesse",Paccard,,1812,,,
"Paris, les Femmes et l'Amour ",anonyme,,1816,,,
"Paris métamorphosé, ou histoire de Gilles-Claude Ragot",Nougaret,,1799,3; 4,,
"Paris, paradis des femmes",madame Emilie de P***,,1821,,,
"Parvenus (les), ou les aventures de Julien Delmours",madame de Genlis,,1819,1; 3,,
"Pâtre (le) tyrolien, roman historique",anonyme,,1820,,,
"Paul et Virginie, ou les amants Bermudes",madame Guénard,,1821,1,,
Paul et Virginie,Jacques-Henri Bernardin-de-Saint-Pierre,,1820,2; 3,,
Pauline de Sombreuse,mademoiselle de Sénancourt,,1821,,,
"Pauline de Vergies, ou lettres de madame de Staincis ",Clair de Tott,,1798,,,
"Pauline et Belval, on les victimes d'un amour criminel ",marquis de Sade,,1817,,,
"Pauline, ou les hasards des voyages",madame M***,,1821,,,
"Pauvre (la) Orpheline, ou la force du préjugé",M***,,1801,,,
"Paysanne (la) espagnole, ou les veillées du bon Stéphens",madame la comtesse d'Ouglou,,1819,,,
"Paysanne (la) parvenue, ou mémoires de la marquise de L. V",chevalier de Mouhy,,1788,,,
"Paysanne (la) pervertie, ou les dangers de la ville",Rétif de la Bretonne,,1786,,,
"Paysan (le) perverti, ou les dangers de la ville",Rétif de la Bretonne,,1776,,,
"Peintre (le) de Saltzbourg, suivi des Méditations du Cloitre",Charles Nodier,,1820,,,
"Pélage, ou le fondateur de la monarchie espagnole",madame de Rome,,1818,,,
Pèlerin (le) de la Croix,mistriss Helme,J. D. ,1817,1,,
Pensées (les),J.-J. Rousseau,,1792,,,
Père (le) et la Fille,miss Opie,madame Louise Brayer de St.-Léon,1802,1; 2; 3,,
Père (le) La Blache  et son fils,madame B***,,1808,,,
Peikin Varbec; roman historique,Dorion,,,,,
Perroquet (le); roman anglo-français-allomand qui n'est traduit d'aucune langue,C. J. Rougemaîtrre,,1817,,,
"Persilès et Sigismond, ou les Pélerins du nord",Cervantès,Bouchon Dubournial,,1,,
"Péruvien (le) à Paris, contenant les voyages et les aventures d'un jeune Indien",J. Rosny,,1801,,,
"Petit (le) Dictionnaire d'anecdotes, ou recueil de traits singuliers, de bons mots",J. F. Bastien,,1820,,,
Petite Bibliothèque des Romans,anonyme,,1811,,,
Petite (la) Harpiste,Auguste Lafontaine,madame Elise Voïard,1815,1,,
"Petite (la) Héloïse, ou lettres à madame de***, sur deux amans de l'île de Crète",J. A. de Monvel,,1817,,,
Petite (la) Musicienne,E. Gosse,,1819,,,
"Petit Jacques et Georgette, ou les petits montagnards",Ducray-Duminil,,,1; 3,,
Petit Pierre,Jean Christiern Spietz,,1820,2,,
"Petits (les) Emigrés, ou correspondance de quelques enfants, ouvrage fait pour servir à l'éducation de la jeunesse",madame de Genlis,,1819,1; 3,,
Petits Romans,Auguste Lafontaine,anonyme,1814,,,
Pétrarque et Laure,madame de Genlis,,1819,1; 3,,
"Pétrarque solitaire, ou les épanchements du coeur",Paccard,,1816,,,
Peut-on s'en douter? ou histoire de deux familles de Norwich,madame Bournon Malarme,,1802,,,
"Philibert, ou les amis d'enfance",Kotzebüe,J. B. J. Breton,1810,,,
Philoclès,Ladoucette,,1802,2,,
"Philosophe (le) anglais, ou histoire de Cléveland, fils naturel de Cromwel",anonyme,,1785,,,
Philosophe (le) parvenu ou lettres et pièces originales,Le Suire,,1786,,,
"Pièces intéressantes et peu connues, pour servir à l'Histoire et à la Littérature ",M. De la Place,,1787,1,,
"Pied (le) de Fanchette, ou le soulier couleur de rose",Rétif de la Bretonne,,,,,
"Pierre de Bogis, et Blanche de Gerbant ",madame Elisabeth de Bon,,1808,1,,
Pierre-le-Grand et les Strélitz; ou la forteresse de la Moskowa,madame Barthelemy Hadot,,1820,1; 3,,
Pirate (le) de Naples ,,,1819,2,,
Piron,,,,,,
"Plus vrai que Vraisemblable, ou le château de Misseri",madame Bounon Malarme,,1801,,,
"Podalyre et Dirphé, ou la couronne tient à la jarretière",Nougaret,,1801,3,,
"Poëte (le), on mémoires d'un homme de lettres",Desforges,,1819,2,,
Polonais (le),miss Porter,N. N***,,1,,
"Portefeuille (le), ou historiettes de la famille de…...",Poulain de St.-Foix,,1804,,,
"Portrait (le), ou la jeune orpheline",Holford,madame Elisabeth de Bon,1819,1,,
Portrait (le) ou la vallée des tombeaux,mademoiselle Désirée Castellerat,,1811,,,
Portugais (les) proscrits ,madame Barthelemy Hadot,,1821,1; 3,,
"Pour (le) et le Contre, ou la vieille fille et la femme mariée",mistriss Ross,anonyme,1797,,,
"Précourt, ou le fils perdu et retrouvé",madame Maurer,,1818,,,
Première (la) Nuit de mes noces,Sewrin,,1802,,,
Presbytère (le) au bord de la mer,Auguste Lafontaine,anonyme,1817,,,
"Presbytère (le), ou les Illustres persécutés pendant la révolution ",madame C. D. V.,,1801,,,
Prêtre (le),M. Lourdeoix,,1820,2,,
"Prévôt (le) de Paris, ou mémoires du sir Caparel, sous le règne de Philippe V ",madame Guénard,,1817,1,,
Prieuré (le) de Ruthinglenne,M. J. M. Deschamps,,1818,2,,
Prince (histoire du) de Timor,anonyme,,1812,,,
"Princes (les) Norvégiens, ou le fratricide supposé",Mardelle,,1818,,,
Princesse (la) de Clèves,madame de la Fayette,,1807,2,,
"Princesse (la); de Nevers, ou mémoires du Sir de la Touraille",M. Reverony St.-Cyr,,1813,,,
Princesse (la) de Wolfenbuttel,anonyme,madame de Montolieu,,,,
"Prise (la) de Constantinople, par Mahomet II",J. A. S. Collin de Plancy,,1819,,,
Prison (la) d'Edimbourg; nouveaux Contes de mon hôte,Walter Scott,,1821,1,,
Prisonnier (le) en Russie ,anonyme,,1815,,,
"Prisonnières (les) de la Montagne, ou la chapelle abandonnée",mademoiselle Désirée Castellerat,,1813,,,
Prisonniers (les) du Temple ,Régnault-Warin,,1800,,,
Procès et Supplice de Marie-Antoinette d'Autriche,Dessessarts,,1815,,,
"Procès fameux, contenant l'histoire des grands scélérats et des victimes malheureuses qui ont été jugés aux tribunaux des peuples tant anciens que modernes",Dessessarts,,,,,
"Procès fameux, jugés pendant le cours de la révolution",Dessessarts,,,,,
Profession de foi du Vicaire savoyard,J.-J. Rousseau,,,4,,
Promenades champêtres; Dialogues à l'usage des jeunes personnes,Charlotte Smith,,1799,3,,
Promenades de Vaucluse,M. Renaud de la Grelaye,,1807,,,
"Promenades instructives d'un père avec ses enfants, dans Paris et ses environs ",M. E. ,,,3,,
"Proscrit (?) (le) voilé, et le Paradis et la Péri",John Moore,anonyme,1820,,,
"Proscrit (le), ou lettres de Jacopo Ortis",anonyme,M. de S***,1814,,,
"Proscrits, (les) ou la famille protestante ",madame L. R. De Bacre,,1818,,,
"Prosper, ou l'heureux naufrage",madame de Saint-Venant,,1815,,,
Protecteurs (les) et les protégés,miss Edgeworth,Jean Cohen,1816,1; 3,,
Protégé (le) de Joséphine de Beauharnais,baron de B***,,1820,,,
"Prusse (la ) galante, ou voyage d'un jeune Français à Berlin",docteur Akerlio,anonyme,1801,4,,
"Prospero, ou le Renégat de Palerme, anecdote sicilienne",anonyme,,1818,,,
Puritains (les) d'Ecosse; suivi du Nain mystérieux,Walter Scott,,1820,1,,
Quatre (les) âges,Charles Pougens,,1820,,,
Quatre (les) Espagnols,,,,,,
Quatre Nouvelles ,R. J. Durdent,,1818,3,,
Quatre titres pour un ,Raban,,1820,,,
"Quelques Scènes de la vie des femmes, ou les aventures d'un chevalier français",chevalier Henri de L***,,1818,4,,
Quelques scènes de ménages,"madame Mallès, née Beaulieu",,1820,3,,
Querelles (les) de famille ,Auguste Lafontaine,J. B. J. Breton,,,,
"Quinzaine (la) anglaise, ou voyage de milord de *** à Paris",chevalier de Rutlige,,1786,,,
"Raoul de Valmire, ou six mois de 1816",M. le victome de Saint-Chamans,,1816,,,
"Raphaël d'Aguilar, ou les moines portugais",Rougemont,,1820,4,,
"Raphaël, ou la vie paisible",Auguste Lafontaine,anonyme,1810,,,
"Rasselas, prince d'Abyssinie",Johnson,,1819,,,
"Raymond, ou le généreux fermier",anonyme,,1813,,,
Reclus (le) de Norwège,miss Anna Maria Porter,madame Elisabeth de Bon,1815,1,,
"Réfugiés (les) Polonais, ou tout pour l'amour et la beauté",L. P. Manuel,,1819,,,
Régicide (le) ,anonyme,,1820,,,
"Reinhold, ou les pupilles mystérieux",Auguste Lafontaine,M. W.,1819,,,
Relation abrégée du Voyage de Lapeyrouse,La Harpe,,1799,,,
"Religieuse (la) et sa fille, ou mémoires de la famille Courville",anonyme,J. D. ,1804,,,
Religieuse (la),Diderot,,1798,,,
"Rencontre (la) au Luxembourg, ou les quatre bonnes femmes",madame Maurer,,1815,,,
Rénégat (le) de Palerme,,,,,,
Rentière (la),,,,,,
"Rétribution (là), ou histoire de miss Prescot",anonyme,anonyme,1817,,,
"Revenans (les) véritables, ou aventures du chevalier de Horny",anonyme,,,,,
"Révolte (la) de Boston, ou la jeune hospitalière",madame Barthelemy Hadot,,1820,1; 3,,
"Richard Bodley, ou la prévoyance malheureuse",madame Bounon Malarme,,1785,,,
"Rinaldo Rinaldini, chef de brigands; histoire romanesque de notre siècle",anonyme,anonyme,1816,2,,
Robertine,anonyme,,1814,2,,
"Robert-le-Rouge Mac-Gregor, ou les Montagnards écossais ",Walter Scott,,1818,1,,
Robinson Crusoé,,,,,,
Robinson (le) du faubourg; Saint-Antoine,anonyme,,1818,,,
Robinson (le) Suisse,M. Wiss,madame de Montolieu,1820,3,,
Rob-Roy; précédé d'une Notice sur Rob-Roy MacGregor et sa famille,Walter Scott,anonyme,1820,1,,
Roche (la) du Diable,M. Legay,,1821,1; 2,,
"Rocher (Ie) des Amours, ou le parjure puni",mademoiselle Désirée Castellerat,,1816,,,
"Roderick, le dernier des Goths",Robert Southey,M. Bérard,,,,
Rodolphe et Julie,Auguste Lafontaine,anonyme,1802,,,
"Rodolphe et Marie, ou la Société secrète",Auguste Lafontaine,anonyme,1820,,,
Roland furieux,M. le comte de Tressan,,,,,
Roland l'amoureux,,,,,,
"Roland, ou l'héritier vertueux",Charlotte Smith,,,,,
"Romalino, ou les mystères de Monte-Rosso",anonyme,,1821,2,,
Roman (le) comique,Scarron,,1821,2,,
Romans (les) de chevalerie,comte de Tressan,,,,,
Romans de la Place,,,,,,
Romans de M. de Mayer,M.de Mayer,,1817,,,
"Romans du Nord; imité du Russe et du Danois de Karamsin, et de Suhm",Henri de Coiffier,,1808,,,
Roman (le) sans titre,anonyme,,1788,,,
Romans et contes de Voisenon,Voisenon,,,,,
Romans héroïques de Jean Ambroise-Marin,Jean-Ambroise Martin,M. le comte de Caylus et M. de Séré,1788,,,
"Roman (le) tragique, ou les suites de la séduction",Rougemaître,,1807,,,
Romeo et Juliette ou les victimes de l'amour,Régnault-Warin,,,,,
"Rosalina, ou la méprise de l'amour",madame Giroust de Morency,,1801,,,
"Rosa, ou la Fille mendiante et ses bienfaiteurs",mistriss Elisabeth Bennett,madame Louise Brayer de St.-Léon,1798,1,,
Rosaura de Viralva ou l'homicide,Maria Charlton,madame de S.,1817,,,
"Rosaure, ou l'arrêt du destin",Auguste Lafontaine,madame la comtesse de Montholon,1818,,,
Rosebelle; historiette du XIIIe siècle,P. B. Dampmartin,,1800,,,
Rose (la) de Jéricho,madame de Montolieu,,1819,1; 3,,
"Rose et Albert, ou le tombeau d'Emma",madame Keralio Robert,,1810,,,
Rose et Dorsinval,,,,,,
Rose Mulgrave,madame Adèle de Cueüllet ,,1806,,,
"Rose Summers, ou les dangers de l'imprévoyance",anonyme,anonyme,1804,,,
"Rosetty, ou l'orpheline vertueuse",mistriss R.,M. Chomel,1813,,,
Rosina et ses Frères,d'Arnaud,,1807,,,
"Rosine, ou le pas dangereux",anonyme,,,4,,
"Rosolia, ou les mystères du château de Glaswerka ",anonyme,,1799,,,
Roue (la) de fortune,Henri Fielding,anonyme,1819,1,,
Roulette (la),J. Lablée,,1808,,,
Ruines (les) de Rotembourg,Mardelle,,1819,,,
Ruines (les) d'un vieux château de la Haute-Saxe,madame Bounon Malarme,,1821,2,,
"Ruines (les), ou méditations sur les révolutions des Empires",Volney,,,,,
"Sabina d'Herfeld, ou les dangers de l'imagination",M. Reverony-de-Saint-Cyr,,1814,,,
"Sacrifices (les) de l'Amour, ou lettres de la vicomtesse de Sénanges et du chevalier de Versenay",Dorat,,1772,2,,
"Saint-Clair des Iles, ou les exilés à l'île de Barra",mistriss Helme,madame de Montolieu,1809,1,,
"Sainclair, ou la victime des sciences et des arts",madame de Genlis,,1808,1; 3,,
"Saint-Clair, ou l'héritière de Desmond",lady Morgan ,M…,1813,,,
"Sainte-Hélène et Monrose, ou les aventures aériennes",anonyme,,1799,,,
"Saint-Ernulphe, ou les proscriptions",M. L. Fleury,,1821,,,
"Saint-Flour et Justine, ou histoire d'une jeune Française au XVIIIe siècle",M. de Ferrières,,1791,,,
"Saint-Julien, ou histoire d'une famille",anonyme,L. Lamarre,1805,,,
"Saint-Vincent de Paul, ou l'Apôtre des affligés",madame Guénard,,1818,1; 2; 3,,
Saisons (les),Thompson,anonyme,1817,,,
"Salut à MM. les maris, ou Rose et Dorsinval",madame de Colleville,,1806,,,
"Samuel d'Harcourt, ou l'homme de lettres",Abel Dufresne,,1820,,,
"Sancerre et Adèle, ou le mari coupable",madame de Jossenay,,1802,,,
"Saphorine, ou l'aventurière du faubourg Saint- Antoine",M. Merville,,1820,4,,
"Sarsfield, ou les égaremens de la jeunesse",J. Gamble,M. Vimain,1816,,,
"Savinia Rivers, ou le danger d'aimer",Sophie Lee,madame S.,1808,,,
"Savetier (le) enrichi, ou trois mois de Nipere",madame de Vildé,,1801,,,
"Scènes (les) de la vie du grand monde, ou Vivian",miss Edgeworth,M. D.,1813,1; 3,,
Secrets (les) de famille,M. Prat,madame Mary Gay-Allart,1802,,,
"Secrets (les) du coeur, ou le cercle du chateau d'Eglantine",madame de Renneville,,1816,3,,
Séductions (les),madame Jenny L. G. D. ,anonyme,1820,2,,
"Séligny, ou l'accusé de rapt; suivi de l'Homme à la mode et du Tocsin",Lablée,,,,,
"Sethos, histoire ou vie tirée des monuments",Bastien,,1795,,,
Severine,madame Beaufort d'Hautpoul,,1810,2,,
"Sidonia, ou le refus",Eleonore Singleton,madame de Viterne,1812,,,
"Sidonie, ou l'abus des talens",madame ***,,,,,
"Siège (le) de la Rochelle, ou le malheur et la conscience",madame de Genlis,,1809,1; 3,,
Simple Histoire; suivi de lady Mathilde ,mistriss Inchbad,M. J. M. Deschamps,1800,,,
"Soeur (la) de la Miséricorde, ou la veille de la Toussaint ",Sophie Francès,madame de Viterne,1809,2,,
"Sinaïb et Zora, ou l'héritière de Babylone",madame Vanesbecq (Grand-Maison),,1801,,,
"Singularités anglaises, écossaises et irlandaises",anonyme,,1814,,,
Sir Walter Fink et son fils Williams,madame de Charrières,,1806,,,
"Six mois d'exil, ou les orphelins par la Révolution",madame Merard-Saint-Just,,1805,2,,
Six Nouvelles,Stephen Arnoult,,1821,,,
Six Nouvelles ,Fiévée,,1803,,,
Six (les) Nouvelles de Florian,,,,,,
"Soeur (la) grise, ou mémoires de madame de Canès (Sénac)",madame Guénard,,1819,1; 4,,
Soirées (les) de famille,anonyme,,1817,,,
Soirées (les) de la chaumière,Ducra-Duminil,,1806,3,,
"Soldat (le) parvenu, ou mémoires et aventures de Verval",M. Mauvillon,,1786,,,
"Soliman et Dalrnéna, ou le philosophe asiatique",M. de la Flotte,,1778,,,
"Solitaire (le) anglais, ou aventures merveilleuses de Philippe Quarll",M. Dorringthon,anonyme,,,,
"Solitaire (le) espagnol, ou mémoires de don Verasque de Figueroas",anonyme,,1753,,,
"Solitaire (le) de la Montagne, ou le fils perdu et retrouvé ",anonyme,C. Houteville,1817,,,
Solitaire (le) ,M. le vicomte d'Arlincourt,,1821,2,,
"Sollicitude (la) paternelle, ou Mémoires de la famille d'Almainville",M. P.,,1819,,,
"Sopha (le), conte moral",Crébillon fils,,1774,,,
"Sophie de Beauregard, ou le véritable amour",madame de Lagrave,,1799,,,
"Sophie de Blamont, ou Mémoires d'une femme de ce temps",Henri Duval,,1820,,,
"Sophie de Listenay, ou aventures et voyages d'une émigrée française en Allemagne et en Prusse",Bilderbek,,,,,
"Sophie, ou mon voyage à Besançon",P. J. Sales,,1803,,,
Soupers (les) de Vaucluse,M. R. D. L.,,1789,,,
"Sort (le) des femmes, ou le club d'amour",Antoine Galland,,1809,,,
"Sourde (la) et muette, ou la famille d'Ortemberg",madame Bournon Malarme,,1820,,,
"Souterrain (le), ou Mathilde",Sophie Lee,anonyme,1787,2,,
"Souterrains (les) de la Roche de Baume, ou le fantôme et les brigands",M. G.,,,,,
Souvenirs (les) de Félicie,madame de Genlis,,,1; 3,,
Souvenirs (les),madame de Caylus,,1805,,,
Souvenirs (les) de Paris en 1804,Kotzebüe,anonyme,1805,,,
Souvenirs de Regnault de Saint-Jean-d'Angely ,M***,,,,,
"Souvenirs d'un Voyage en Livonie, à Rome, à Naples ",Kotzebüe,,1806,,,
"Spectre (le) de la galerie du château d'Estalens, ou le sauveur mystérieux ",baron de Lamothe-Houdancourt,,1819,2,,
Spectre (le) de la Montagne de Grenade,mademoiselle Désirée Castellerat,,1809,,,
"Spinalba, ou les révélations de la Rose-Croix",Régnault-Warin,,,,,
Splendeur et Souffrance,J. Martin,,,,,
Stanislas (de Sainte-Rose),madame Bournon Malarme,,1811,,,
"Stanislas, roi de Pologne, roman historique",madame de Renneville,,1812,3,,
"Stanislas Zamoski, ou les illustres Polonais",madame Barthelemy Hadot,,1818,1; 3,,
Stella ou les proscrits ,Charles Nodier,,1820,,,
"Stéphanie, ou les folies à la mode; mémoires singuliers d'un jeune homme à bonnes fortunes, pris pour dupe",anonyme,,1802,,,
Stéphanie,,,,,,
Sterne (oeuvres complettes de),Sterne,anonyme,1818,,,
Strathallan,Alicia Lefanu,,,,,
"Suédois (le), ou la prédestination",Auguste Lafontaine,madame Elise Voïard,1819,1,,
Suite et conclusion de l'Egoisme ,Pigault-Lebrun,,,1; 2; 4,,
Suite des Nouvelles de madame de Montolieu,madame de Montolieu,,1812,1; 3,,
"Sybarites (les), roman historique",anonyme,Henri C.,1801,,,
"Sydney, comte d'Avondel ",mistriss West,anonyme,1813,2,,
Sydney et Worthon; histoire anglaise,M. de S***,,1820,,,
"Sylphide (la), ou l'ange gardien",madame la duchesse de Devonshire,,,,,
"Sylvestre, ou mémoires d'un centenaire de 1765 à 1786",Maimieux,,1802,,,
Sylvius et Valéria,Auguste Lafontaine,anonyme,1819,,,
Tableau de l'amour conjugal,Venette,,,4,,
"Tableaux de famille, ou journal de Charles Engelmann",Auguste Lafontaine,madame de Montolieu,1820,,,
"Tableaux (les) de M. le comte de Forbin, ou la mort de Pline l'Ancien et Inès de Castro",madame de Genlis,,,1; 3,,
"Tableaux (les) de société, ou Fanchette et Honorine",Pigault-Lebrun,,1812,1,,
"Tanzaï et Neadarné, histoire japonaise ",Crébillon fils,,1731,,,
Tarsis et Zélie,Lamothe Levayer,,,,,
Télémaque (Aventures de),Fénelon,,1810,3,,
Télèphe,Pechméja,,1784,,,
Testament (le) de la vieille cousine,Charlotte Smith,,1816,,,
Testament (le),Auguste Lafontaine,L. Fuchs,1816,1; 2,,
"Tète de mort, ou la croix du cimetière de St.-Adrien",M. le baron de Lamothe Houdancourt,,1817,,,
"Teudimer, oula monarchie espagnole",Gelozan,,1805,,,
"Thama, ou le sauvage civilisé",anonyme,,1807,,,
Théana et Lorenzo; histoire italienne,Coffin Rony,,1808,,,
Théâtre d'éducation,madame de Genlis,,1812,1; 3,,
Théâtre,Pigault-Lebrun,,1806,1,,
Théâtre de société,madame de Genlis,,1811,3,,
"Théela de Thurn, ou scènes de la guerre de Trente ans",Walter de Monbary,"madame Polier, chanoinesse du Saint-Sépulcre",1815,,,
Thémidore,anonyme,,,4,,
"Théodora, femme de Justinien, roman historique",M. le marquis de Vaquier-Limon,,1814,,,
"Théodore, ou les Péruviens",,,,,,
"Théodore Cyphon, ou le juif bienfaisant",G. Yalker,Lebas,,,,
Thérèse Aubert,Charles Nodier,,1819,,,
"Thérèse de Wolmar, ou l'orpheline de Genève et son persécuteur",madame Guénard,,1821,1; 2,,
"Thomas (Histoire de) Browa, ou l'amour de l'humanité",anonyme,madame de C.,,,,
"Tombeau (le) mystérieux, ou les familles de Hennarés et d'Almanza",John Palmer,R. J. Durdent,1810,,,
Tombeau (le) ,Anne Radcliffe,Hector Chaussier et Bizet,1821,1; 2,,
Tombeaux (les) et Méditations d'Hervey,anonyme,Letourneur,1796,,,
"Tom Jones, ou l'enfant trouvé",Henri Fielding,de la Place,,1; 3,,
Tonneau (le) de Diogène ,M. Frénais,,1802,,,
"Torrent (le) des passions, ou les dangers de la galanterie ",M. Reverony-de-Saint-Cyr,,1818,,,
"Tour (la) du Bog, ou la sévérité paternelle",M. Legay,,1820,1,,
"Tour (la) du Louvre, ou les héros de Bouvines",madame Barthelemy Hadot,,1818,1; 3,,
"Tournemont, ou les confidences d'une jolie femme ",anonyme,,1796,4,,
"Tout est possible à l'amitié, ou  histoire de milord LoveRose et de Sophie Mostain",madame Bounon Malarme,,1786,,,
Traits de nature,,,,,,
"Trois (les) Bibles, ou Lucie et Maria",madame Parson,Majeur,1816,,,
"Trois (les) B***, ou aventures et mémoires d'un boiteux, d'un borgne et d'un bossu ",Armand-Charlemagne,,1809,4,,
Trois (les) Familles ,madame Bournon Malarme,,1810,,,
Trois (les) Faublas de ce temps-là,Sewrin,,1803,4,,
Trois (les) Gilblas ou cinq ans de folie ,Lamartellière,,1805,2,,
Trois (les) Moines,madame Guénard,,1815,1; 4,,
"Trois mois de ma vie, ou l'Histoire de ma famille",Dumaniant,,1811,,,
"Trois (les) Romans, ou Contes d'aujourd'hui",mistriss Isaaks,anonyme,1817,,,
Un an et un jour,anonyme,madame de Montolieu,1821,,,
Une Macédoine,Pigault-Lebrun,,1817,1,,
Un Hiver à Londres,T. S. Surr,madame de ***,1810,,,
Usong; histoire orientale,M. de Haller,,1772,,,
"Valéria, ou la chapelle de Flowern",Renault de Rouvray,,1820,,,
"Valérie, ou lettres de Gustave de Linar à Ernest de G",madame la baronne de Krudner,,1804,2,,
"Valérine de Monsabran, ou la victime de la confiance",L. F. G. D de la Rochelle,,1799,,,
"Valet (le) par circonstances, ou le Panorama de quelques maisons de Paris",M. Legay,,1817,1; 2,,
Vallée (la) de Mitterbach ou le château de Blankeinsteid,madame Guénard,,1816,1; 4,,
Vallon (le) fortuné ou Rasselas et Dinarbas,M. Maccarthy,anonyme,1817,,,
"Valsinore, ou le coeur et l'imagination",anonyme,anonyme,1816,,,
Vampires (les),,,,,,
Veille (la) de la Saint-Jean,anonyme,anonyme,1801,,,
Veille (la) du départ,M. Lhomme Saint Alphonse,,1819,,,
Veillée (la); suivi du Franc Breton,Marmontel,,1792,,,
Veillées (les) des Antilles,madame Desbordes-Valmore,,1821,,,
Veillées (les) de Thessalie,mademoiselle de Lussan,,1782,2,,
"Veillées (tes) du château, ou cours de morale à l'usage des enfans",madame de Genlis,,1819,1; 3,,
Veillées (les) d'une captive,M. ***,,1818,,,
Veillées (les) d'une femme sensible,madame Ménard,,1796,,,
Veillées (les) militaires,madame A. Couvret,,1805,,,
"Velleville et Juliette, ou les étourderies d'une jolie femme",Ronden,,1817,4,,
Vengeance (la) ou le fou par amour,mademoiselle Vanhove,,1813,,,
Vénitiens (les) on le capitaine français,madame Barthelemy Hadot,,,1; 3,,
"Versorand, ou le libertin devenu philosophe",Lasolle,,1815,4,,
"Vice (le) et la faiblesse, ou mémoires de deux provinciales ",anonyme,,1786,,,
"Vice et Vertu, on l'heureuse séduction",madame la comtesse du Nardouet,,1820,4,,
Victime (la) du préjugé,Mary Hays,,,,,
"Victimes (les) de l'intrigue, et l'Héroïsme dans le malheur",madame de ***,,1805,,,
"Victor de Martigue, ou suite de la Rentière",madame de Colleville,,,,,
"Victor, ou l'enfant de la forêt ",Ducray-Duminil,,1798,1; 3,,
"Victor, ou l'orphelin de Montargis",anonyme,,1803,,,
Vie de l'Empereur Julien,abbé de Labletterie,,1809,,,
Vie (la) de Marianne,Marivaux,,1781,2,,
Vie de Marion de Lorme; suivi de l'Histoire de Suzette ,anonyme,,1805,,,
Vie du chevalier de Faublas ,Louvet de Couvray,,1819,2; 4,,
Vie et fin déplorable de madame Dubudoy,anonyme,,1817,,,
"Vie (la) les Amours et les Aventures de Diogène le cynique, surnommé le Socrate fou",Wiéland,baron de H.,1819,,,
"Vierge (la) d'Arduène, roman historique",madame Elise Voïard,,,1,,
"Vierge (la) de l'Indostan, ou les Portugais au Malabar",madame Barthelemy Hadot,,1821,1; 3,,
"Vierge (la) du Mont-Galaad, ou le retour de l'Exilé",madame Claire Destays,,1819,,,
Village de Mariendorpt,miss Anna Maria Porter,M. H. Janvry,1821,1,,
Village (le) de Munster,lady Hamilton,,1782,,,
"Village (le) des Pyrénées, ou Est-ce un songe? ",Ducray jeune,,1816,,,
"Virginie de Beaufort, ou douze années d'une femme de vingt ans ",anonyme,,1815,,,
Visionnaire (le) ou la manie des prodiges,T. S. Surr,anonyme,,,,
Visions (les) du château des Pyrénées,Anne Radcliffe,anonyme,1821,1,,
Visite (la) nocturne,Maria-Régina Roche,J. B. J. Breton,1801,1,,
"Vivian, ou l'homme sans caractère",miss Edgeworth,anonyme,1813,1; 3,,
"Vivonio, ou l'heure de la Rétribution (du jugement suprême)",Sophie Francès,,1820,2,,
"Voeux (les) téméraires, ou l'enthousiasme",madame de Genlis,,1813,1; 3,,
"Voile (le), ou Valentine d'Alté",madame de Cueüllet,,1813,2,,
"Voisins (les) de campagne, ou le secret ",miss Burney,madame D'Esmenard,1820,1,,
Voltaire (Romans et Contes de),Voltaire,,,4,,
Voyage à Barèges et dans les Hautes-Pyrénées,J. Dusaulx,,,,,
"Voyage au centre de la terre, ou aventures diverses de Clairancy et de ses compagnons ",M. Hormidas-Péath,Jacques Saint-Albin,1821,,,
Voyage (mon) au Mont-d'Or,anonyme,,1802,,,
Voyage autour de ma chambre,anonyme,,1820,,,
Voyage (premier) autour du monde,chevalier Pigafetta,,1801,,,
Voyage autour du monde,John Turnbull,J. H. Lallemand,1807,,,
Voyage aux Indes orientales et à la Chine,Sonnini,,1806,,,
Voyage cosmographique,professeur Schaefer,anonyme,1802,,,
Voyage dans la Haute-Pensylvanie et dans l'Etat de New -York,anonyme,,1801,,,
